area_id,alleg_year,officer_race,count
8,2009,Hispanic,5
8,2009,White,4
8,2010,Asian/Pacific,1
8,2010,Hispanic,1
8,2010,White,6
8,2011,Asian/Pacific,1
8,2011,Hispanic,4
8,2011,White,10
8,2012,Asian/Pacific,7
8,2012,Hispanic,2
8,2012,White,1
8,2013,Asian/Pacific,1
8,2013,Hispanic,4
8,2013,White,12
8,2014,White,3
8,2015,Hispanic,4
8,2015,White,4
8,2016,Asian/Pacific,1
8,2016,White,1
8,2017,Asian/Pacific,1
8,2017,Hispanic,4
8,2017,White,3
9,1930,White,1
9,1980,White,1
9,1982,White,8
9,1985,White,1
9,1989,White,15
9,1990,White,2
9,1991,Black,4
9,1991,Hispanic,2
9,1991,White,41
9,1992,Hispanic,3
9,1992,White,34
9,1993,Black,2
9,1993,Hispanic,3
9,1993,White,28
9,1994,Asian/Pacific,3
9,1994,Hispanic,6
9,1994,White,29
9,1995,Asian/Pacific,1
9,1995,Black,2
9,1995,Hispanic,3
9,1995,White,19
9,1996,Asian/Pacific,2
9,1996,Black,2
9,1996,Hispanic,11
9,1996,Native American/Alaskan Native,1
9,1996,White,22
9,1997,Asian/Pacific,3
9,1997,Black,1
9,1997,Hispanic,5
9,1997,White,33
9,1998,Black,2
9,1998,Hispanic,3
9,1998,White,22
9,1999,Asian/Pacific,2
9,1999,Black,6
9,1999,Hispanic,4
9,1999,White,32
9,2000,Asian/Pacific,1
9,2000,Black,1
9,2000,Hispanic,12
9,2000,Native American/Alaskan Native,1
9,2000,White,55
9,2001,Black,1
9,2001,Hispanic,1
9,2001,White,19
9,2002,Asian/Pacific,3
9,2002,Hispanic,8
9,2002,White,16
9,2003,Asian/Pacific,1
9,2003,Hispanic,3
9,2003,White,15
9,2004,Asian/Pacific,1
9,2004,Hispanic,1
9,2004,White,13
9,2005,Hispanic,4
9,2005,White,10
9,2006,Asian/Pacific,1
9,2006,Black,1
9,2006,Hispanic,6
9,2006,White,20
9,2007,Asian/Pacific,2
9,2007,Black,2
9,2007,Hispanic,10
9,2007,White,27
9,2008,Asian/Pacific,5
9,2008,Black,2
9,2008,Hispanic,6
9,2008,Native American/Alaskan Native,1
9,2008,White,27
9,2009,Asian/Pacific,2
9,2009,Hispanic,8
9,2009,Native American/Alaskan Native,1
9,2009,White,19
9,2010,Asian/Pacific,3
9,2010,Black,1
9,2010,Hispanic,1
9,2010,White,13
9,2011,Asian/Pacific,1
9,2011,Hispanic,9
9,2011,White,17
9,2012,Hispanic,6
9,2012,White,7
9,2013,Asian/Pacific,2
9,2013,Hispanic,5
9,2013,Native American/Alaskan Native,3
9,2013,White,9
9,2014,Asian/Pacific,2
9,2014,Black,3
9,2014,Hispanic,1
9,2014,White,9
9,2015,Asian/Pacific,2
9,2015,Black,2
9,2015,Hispanic,4
9,2015,White,9
9,2016,Asian/Pacific,1
9,2016,Hispanic,3
9,2016,White,6
9,2017,Black,1
9,2017,Hispanic,3
9,2017,White,4
10,1983,White,1
10,1984,White,1
10,1986,Hispanic,1
10,1986,White,4
10,1989,Hispanic,1
10,1989,White,7
10,1990,White,1
10,1991,Black,4
10,1991,Hispanic,1
10,1991,White,23
10,1992,Asian/Pacific,1
10,1992,Black,3
10,1992,Hispanic,5
10,1992,White,26
10,1993,Black,1
10,1993,Hispanic,4
10,1993,White,12
10,1994,Asian/Pacific,3
10,1994,Hispanic,5
10,1994,White,23
10,1995,Asian/Pacific,1
10,1995,Hispanic,5
10,1995,Native American/Alaskan Native,1
10,1995,White,13
10,1996,Asian/Pacific,1
10,1996,Black,1
10,1996,Hispanic,4
10,1996,White,16
10,1997,Black,3
10,1997,Hispanic,3
10,1997,White,21
10,1998,Asian/Pacific,3
10,1998,Hispanic,2
10,1998,White,18
10,1999,Black,5
10,1999,Hispanic,1
10,1999,White,17
10,2000,Asian/Pacific,1
10,2000,Black,5
10,2000,Hispanic,5
10,2000,White,13
10,2001,Black,1
10,2001,Hispanic,4
10,2001,White,9
10,2002,Hispanic,4
10,2002,White,16
10,2003,Black,2
10,2003,Hispanic,1
10,2003,White,5
10,2004,Hispanic,1
10,2004,White,9
10,2005,Hispanic,3
10,2005,White,5
10,2006,Hispanic,2
10,2006,White,5
10,2007,Black,2
10,2007,Hispanic,1
10,2007,White,11
10,2008,Hispanic,2
10,2008,White,6
10,2009,Asian/Pacific,1
10,2009,Hispanic,3
10,2009,White,7
10,2010,Asian/Pacific,1
10,2010,White,2
10,2011,Asian/Pacific,1
10,2011,Hispanic,1
10,2012,Hispanic,2
10,2013,Asian/Pacific,1
10,2013,Hispanic,2
10,2013,White,6
10,2014,Asian/Pacific,1
10,2014,Hispanic,3
10,2014,White,6
10,2015,Hispanic,3
10,2015,White,3
10,2016,Hispanic,4
10,2016,White,2
10,2017,Hispanic,2
10,2017,White,1
10,2018,White,1
11,1981,White,1
11,1982,White,1
11,1983,White,2
11,1985,White,1
11,1986,Hispanic,1
11,1987,White,1
11,1989,White,5
11,1990,Hispanic,2
11,1990,White,6
11,1991,Hispanic,1
11,1991,White,9
11,1992,Hispanic,3
11,1992,White,11
11,1993,Asian/Pacific,1
11,1993,Black,1
11,1993,Hispanic,2
11,1993,White,35
11,1994,Black,1
11,1994,Hispanic,1
11,1994,White,15
11,1995,Hispanic,2
11,1995,White,22
11,1996,Black,1
11,1996,Hispanic,3
11,1996,White,24
11,1997,Hispanic,1
11,1997,White,7
11,1998,Hispanic,1
11,1998,White,4
11,1999,Hispanic,3
11,1999,White,15
11,2000,Asian/Pacific,1
11,2000,Black,3
11,2000,Hispanic,4
11,2000,White,21
11,2001,Asian/Pacific,3
11,2001,Hispanic,8
11,2001,White,24
11,2002,Hispanic,2
11,2002,White,10
11,2003,Hispanic,7
11,2003,White,18
11,2004,Hispanic,1
11,2004,White,7
11,2005,Asian/Pacific,1
11,2005,Hispanic,7
11,2005,White,17
11,2006,Asian/Pacific,2
11,2006,Black,1
11,2006,Hispanic,3
11,2006,White,12
11,2007,Hispanic,1
11,2007,White,11
11,2008,Asian/Pacific,1
11,2008,Black,2
11,2008,Hispanic,2
11,2008,White,10
11,2009,Black,1
11,2009,Hispanic,2
11,2009,White,16
11,2010,White,7
11,2011,White,6
11,2012,Asian/Pacific,1
11,2012,Hispanic,1
